Player,Pos,height_inches,season_end_year,Tm,MP,TRB%,ORB%,DRB%,TRB%_z,ORB%_z,DRB%_z,frontcourt_trb,is_sg
A.J. Price,PG,74.0,2010,IND,865.0,5.6,1.5,9.7,-0.28390390774791413,-0.5312329811684332,-0.0888601431357284,14.96935373372916,0
AJ Johnson,SG,77.0,2025,2TM,639.0,4.8,1.3,8.3,-0.8800790223733402,-0.7019896959894203,-0.6729199248251588,8.989291422482683,1
Aaron Wiggins,SG,77.0,2022,OKC,1209.0,7.6,4.3,11.0,0.3300172520632778,0.8940392981321966,0.01470454542628747,12.263953120050681,1
Acie Law,PG,75.0,2008,ATL,865.0,3.8,1.6,6.0,-1.2516459857915156,-0.488487545405989,-1.2129644882768948,15.611583225568078,0
Ajay Mitchell,SG,76.0,2025,OKC,597.0,6.1,3.3,8.8,-0.4357540907689377,-0.06611537302947447,-0.5588006345970565,16.773989713445996,1
Alec Burks,SG,77.0,2012,UTA,939.0,8.1,6.9,9.3,0.858279625190033,2.0240868656003226,-0.21174057163584079,15.797604790419161,1
Alex Caruso,PG,77.0,2018,LAL,562.0,6.2,2.9,9.4,-0.130524891240879,0.18292948565743444,-0.2622888181961754,13.18050533652799,0
Allan Ray,SG,74.0,2007,BOS,710.0,5.8,3.0,8.8,-0.1819622937341362,0.11975611016760536,-0.23760200577696694,15.142141924249021,1
Allonzo Trier,SG,76.0,2019,NYK,1459.0,7.1,2.2,12.2,0.2582277832377371,-0.06339728291829697,0.3528830642793746,11.606134020618557,1
Andrew Nembhard,SG,76.0,2023,IND,2073.0,5.3,1.9,8.8,-0.6575920445143613,-0.3785839324890924,-0.5427494721544562,15.39494201030928,1
Anthony Edwards,SG,76.0,2021,MIN,2314.0,7.9,2.7,13.5,0.3827321940208309,0.10447020126481063,0.5151288149259756,12.89196875,1
Anthony Morrow,SG,77.0,2009,GSW,1515.0,7.1,5.6,8.7,0.49210954450459793,1.7811067105682572,-0.38439792716794213,16.101770160157347,1
Antonio Reeves,SG,77.0,2025,NOP,660.0,5.1,2.9,7.6,-0.7775424996954012,-0.19329023762146358,-0.8326869311445024,15.475399061032864,1
Archie Goodwin,SG,77.0,2014,PHO,533.0,9.2,5.3,13.0,0.626750168584905,0.4276284146616185,0.6315486235932806,11.30548712206047,1
Armoni Brooks,SG,75.0,2021,HOU,520.0,7.0,2.0,12.4,0.017301783470136275,-0.24553933817008933,0.2421727916553172,15.067768595041324,1
Arron Afflalo,SG,77.0,2008,DET,970.0,8.4,4.4,12.5,1.0556303334224222,0.9421289333059928,0.7445883192632636,15.17102137767221,1
Austin Reaves,SG,77.0,2022,LAL,1418.0,7.3,3.4,11.2,0.2219356067856182,0.46046084720711533,0.058157977624786285,10.32009285530049,1
Austin Rivers,SG,76.0,2013,NOH,1418.0,4.6,1.3,8.0,-0.3900909361764166,-0.44060695613669243,-0.26806178756623006,12.630222030610046,1
Ayo Dosunmu,SG,76.0,2022,CHI,2110.0,5.7,1.4,9.9,-0.3544998346952335,-0.5030468215152877,-0.22428933166545678,13.01309823677582,1
Ben McLemore,SG,75.0,2014,SAC,2187.0,6.1,2.7,9.5,-0.09253219577656614,0.01928631163524565,-0.1926199754285247,17.789268292682927,1
Bennedict Mathurin,SG,77.0,2023,IND,2222.0,7.9,4.4,11.5,0.23266780158254222,0.6923802107977249,-0.027703680210566316,15.39494201030928,1
Blake Wesley,SG,76.0,2023,SAS,669.0,6.6,1.9,11.7,-0.2124621214659097,-0.3785839324890924,0.010447859933425407,10.151752577319588,1
Bobby Brown,PG,74.0,2009,2TM,931.0,3.3,1.7,4.8,-1.4674377655010633,-0.435904366226569,-1.7078501512986652,9.696075471698112,0
Bogdan BogdanoviÄ,SG,77.0,2018,SAC,2175.0,5.8,1.6,10.5,-0.24780248008716138,-0.3083560856380642,-0.06968773657108406,14.53963963963964,1
Bones Hyland,SG,74.0,2022,DEN,1310.0,8.0,1.2,14.4,0.4741261124334909,-0.599397588387528,0.75341289280077,16.780873866446825,1
Bradley Beal,SG,76.0,2013,WAS,1745.0,6.7,2.7,10.8,0.30951910624381584,0.1469922493196268,0.35626973378626436,15.233368672144183,1
Brandin Podziemski,SG,76.0,2024,GSW,1968.0,11.7,6.6,16.7,1.1589534323023662,0.6770020011321033,0.9626705971666847,11.793021227100901,1
Brandon Jennings,PG,73.0,2010,MIL,2671.0,6.0,2.0,10.4,-0.1014912807601907,-0.2443769366496331,0.10920887510041317,16.796244245214442,0
Brandon Knight,PG,74.0,2012,DET,2129.0,5.9,1.8,10.3,-0.17793601985647006,-0.37373450352035203,0.10477128631116023,15.901577464788732,0
Brandon Paul,SG,76.0,2018,SAS,576.0,6.5,1.1,12.0,-0.0425666996061673,-0.49731207459787147,0.192950102008586,16.096736866466095,1
Brian Roberts,PG,73.0,2013,NOH,1324.0,4.4,1.5,7.3,-0.4567204640259623,-0.3566642125000754,-0.4241446679043537,12.630222030610046,0
Bruce Brown,SG,76.0,2019,DET,1449.0,7.0,3.5,10.7,0.22019984881983767,0.7378739317435126,0.030249070718994207,18.632264186752707,1
Bub Carrington,PG,76.0,2025,WAS,2458.0,7.2,1.4,13.1,-0.059786840949827585,-0.6701959798414229,0.42262526136462386,13.568909710391823,0
