Player,Pos,height_inches,season_end_year,Tm,MP,TRB%,ORB%,DRB%,TRB%_z,ORB%_z,DRB%_z,frontcourt_trb,is_sg,expected_combine_year,combine_player_name,combine_year,wingspan_inches,combine_year_gap,wingspan_minus_height
A.J. Price,PG,74.0,2010,IND,865.0,5.6,1.5,9.7,-0.2839039077479141,-0.5312329811684332,-0.0888601431357284,14.96935373372916,0,2009,A.J. Price,2009.0,75.75,0.0,1.75
AJ Johnson,SG,77.0,2025,2TM,639.0,4.8,1.3,8.3,-0.8800790223733402,-0.7019896959894203,-0.6729199248251588,8.989291422482683,1,2024,AJ Johnson,2024.0,80.5,0.0,3.5
Aaron Wiggins,SG,77.0,2022,OKC,1209.0,7.6,4.3,11.0,0.3300172520632778,0.8940392981321966,0.0147045454262874,12.26395312005068,1,2021,Aaron Wiggins,2021.0,81.75,0.0,4.75
Acie Law,PG,75.0,2008,ATL,865.0,3.8,1.6,6.0,-1.2516459857915156,-0.488487545405989,-1.2129644882768948,15.611583225568078,0,2007,Acie Law,2007.0,78.5,0.0,3.5
Ajay Mitchell,SG,76.0,2025,OKC,597.0,6.1,3.3,8.8,-0.4357540907689377,-0.0661153730294744,-0.5588006345970565,16.773989713445996,1,2024,Ajay Mitchell,2024.0,78.25,0.0,2.25
Alec Burks,SG,77.0,2012,UTA,939.0,8.1,6.9,9.3,0.858279625190033,2.0240868656003226,-0.2117405716358407,15.79760479041916,1,2011,Alec Burks,2011.0,82.0,0.0,5.0
Alex Caruso,PG,77.0,2018,LAL,562.0,6.2,2.9,9.4,-0.130524891240879,0.1829294856574344,-0.2622888181961754,13.18050533652799,0,2017,,,,,
Allan Ray,SG,74.0,2007,BOS,710.0,5.8,3.0,8.8,-0.1819622937341362,0.1197561101676053,-0.2376020057769669,15.14214192424902,1,2006,Allan Ray,2006.0,80.5,0.0,6.5
Allonzo Trier,SG,76.0,2019,NYK,1459.0,7.1,2.2,12.2,0.2582277832377371,-0.0633972829182969,0.3528830642793746,11.606134020618557,1,2018,Allonzo Trier,2018.0,78.75,0.0,2.75
Andrew Nembhard,SG,76.0,2023,IND,2073.0,5.3,1.9,8.8,-0.6575920445143613,-0.3785839324890924,-0.5427494721544562,15.39494201030928,1,2022,Andrew Nembhard,2022.0,77.75,0.0,1.75
Anthony Edwards,SG,76.0,2021,MIN,2314.0,7.9,2.7,13.5,0.3827321940208309,0.1044702012648106,0.5151288149259756,12.89196875,1,2020,,,,,
Anthony Morrow,SG,77.0,2009,GSW,1515.0,7.1,5.6,8.7,0.4921095445045979,1.7811067105682572,-0.3843979271679421,16.101770160157347,1,2008,,,,,
Antonio Reeves,SG,77.0,2025,NOP,660.0,5.1,2.9,7.6,-0.7775424996954012,-0.1932902376214635,-0.8326869311445024,15.475399061032864,1,2024,Antonio Reeves,2024.0,80.25,0.0,3.25
Archie Goodwin,SG,77.0,2014,PHO,533.0,9.2,5.3,13.0,0.626750168584905,0.4276284146616185,0.6315486235932806,11.30548712206047,1,2013,Archie Goodwin,2013.0,81.5,0.0,4.5
Armoni Brooks,SG,75.0,2021,HOU,520.0,7.0,2.0,12.4,0.0173017834701362,-0.2455393381700893,0.2421727916553172,15.067768595041324,1,2020,,,,,
Arron Afflalo,SG,77.0,2008,DET,970.0,8.4,4.4,12.5,1.0556303334224222,0.9421289333059928,0.7445883192632636,15.17102137767221,1,2007,,,,,
Austin Reaves,SG,77.0,2022,LAL,1418.0,7.3,3.4,11.2,0.2219356067856182,0.4604608472071153,0.0581579776247862,10.32009285530049,1,2021,Austin Reaves,2021.0,78.25,0.0,1.25
Austin Rivers,SG,76.0,2013,NOH,1418.0,4.6,1.3,8.0,-0.3900909361764166,-0.4406069561366924,-0.26806178756623,12.630222030610046,1,2012,Austin Rivers,2012.0,79.25,0.0,3.25
Ayo Dosunmu,SG,76.0,2022,CHI,2110.0,5.7,1.4,9.9,-0.3544998346952335,-0.5030468215152877,-0.2242893316654567,13.01309823677582,1,2021,Ayo Dosunmu,2021.0,82.25,0.0,6.25
Ben McLemore,SG,75.0,2014,SAC,2187.0,6.1,2.7,9.5,-0.0925321957765661,0.0192863116352456,-0.1926199754285247,17.789268292682927,1,2013,Ben McLemore,2013.0,79.75,0.0,4.75
