Player,model_a_predicted_z,model_a_residual_z,model_a_residual_pct,model_b_predicted_z,model_b_residual_z,model_b_residual_pct,target
A.J. Price,-0.24324073559163445,-0.040663172156279626,48.125,-0.3186546403610981,0.03475073261318401,56.25,TRB%
AJ Johnson,0.14730933482270198,-1.0273883571960423,4.375,0.15444973613542776,-1.034528758508768,4.375,TRB%
Aaron Wiggins,0.16310124095742076,0.16691601110585705,65.625,0.20553857195301764,0.12447868011026017,61.875,TRB%
Acie Law,-0.16871823873601985,-1.0829277470554959,2.5,-0.16040533515065775,-1.0912406506408578,3.125,TRB%
Ajay Mitchell,-0.017084908721735514,-0.41866918204720216,21.25,-0.09089342503066393,-0.34486066573827373,23.125,TRB%
Alec Burks,0.10358436522100231,0.7546952599690306,91.875,0.15223322312428703,0.706046402065746,89.375,TRB%
Allan Ray,-0.15280054413286714,-0.02916174960126905,50.0,-0.08510273383167014,-0.09685955990246606,42.5,TRB%
Allonzo Trier,0.11036279293775846,0.14786499029997863,65.0,0.05571181864769387,0.20251596459004323,68.75,TRB%
Andrew Nembhard,0.12469898289256758,-0.7822910274069288,8.75,0.013729785980751013,-0.6713218304951123,11.25,TRB%
Antonio Reeves,0.08274877661229005,-0.8602912763076913,6.25,0.06592712589596049,-0.8434696255913617,6.25,TRB%
Archie Goodwin,0.11443724200941884,0.5123129265754861,85.625,0.1581031993993975,0.46864696918550747,84.375,TRB%
Austin Reaves,0.20107225451839866,0.020863352267219526,53.75,0.10487278112058625,0.11706282566503194,60.0,TRB%
Austin Rivers,0.09633614230278806,-0.48642707847920463,18.125,0.06006737454536762,-0.45015831072178425,20.0,TRB%
Ayo Dosunmu,0.15227453526698898,-0.5067743699622225,16.875,0.22569027002411104,-0.5801901047193445,13.125,TRB%
Ben McLemore,0.028961997128220757,-0.12149419290478686,38.125,0.0161642168703079,-0.108696412646874,41.25,TRB%
Bennedict Mathurin,0.21868208473430611,0.013985716848236074,53.125,0.21075186565599385,0.021915935926548336,52.5,TRB%
Blake Wesley,0.05691307820800186,-0.26937519967391155,28.125,0.11600479591346097,-0.32846691737937067,26.25,TRB%
