Player,season_end_year,actual_z,predicted_z,residual_z,residual_pct,target
A.J. Price,2010,-0.28390390774791413,-0.18736083052931476,-0.09654307721859937,46.50205761316872,TRB%
AJ Johnson,2025,-0.8800790223733402,0.15360164330802126,-1.0336806656813615,2.880658436213992,TRB%
Aaron Wiggins,2022,0.3300172520632778,0.14458169328638407,0.18543555877689374,67.48971193415639,TRB%
Acie Law,2008,-1.2516459857915156,-0.11774823712196636,-1.1338977486695492,2.05761316872428,TRB%
Ajay Mitchell,2025,-0.4357540907689377,0.014864732060772642,-0.45061882282971033,20.16460905349794,TRB%
Alec Burks,2012,0.858279625190033,0.10791586284614604,0.7503637623438869,89.7119341563786,TRB%
Alex Caruso,2018,-0.130524891240879,0.04217109961783278,-0.17269599085871176,38.68312757201646,TRB%
Allan Ray,2007,-0.1819622937341362,-0.11812505743660817,-0.06383723629752802,48.971193415637856,TRB%
Allonzo Trier,2019,0.2582277832377371,0.08270197059353473,0.17552581264420236,66.66666666666666,TRB%
Andrew Nembhard,2023,-0.6575920445143613,0.07088145728721759,-0.7284735018015789,10.2880658436214,TRB%
Anthony Edwards,2021,0.3827321940208309,0.09836670959663314,0.2843654844241978,73.25102880658436,TRB%
Anthony Morrow,2009,0.49210954450459793,0.12299433825168252,0.3691152062529154,79.01234567901234,TRB%
Antonio Reeves,2025,-0.7775424996954012,0.10202017254936131,-0.8795626722447626,4.526748971193416,TRB%
Archie Goodwin,2014,0.626750168584905,0.13172813387572305,0.49502203470918194,84.77366255144034,TRB%
Armoni Brooks,2021,0.017301783470136275,-0.048524593487440495,0.06582637695757677,59.25925925925925,TRB%
Arron Afflalo,2008,1.0556303334224222,0.11390387891556655,0.9417264545068557,92.18106995884774,TRB%
Austin Reaves,2022,0.2219356067856182,0.16659171312573173,0.055343893659886456,57.61316872427984,TRB%
Austin Rivers,2013,-0.3900909361764166,0.07320929949807492,-0.4633002356744915,19.34156378600823,TRB%
Ayo Dosunmu,2022,-0.3544998346952335,0.09118387735603199,-0.4456837120512655,20.5761316872428,TRB%
Ben McLemore,2014,-0.09253219577656614,-0.019709883414345805,-0.07282231236222034,47.73662551440329,TRB%
Bennedict Mathurin,2023,0.23266780158254222,0.15019870776107896,0.08246909382146325,60.49382716049383,TRB%
Blake Wesley,2023,-0.2124621214659097,0.0703721356729533,-0.282834257138863,28.80658436213992,TRB%
Bobby Brown,2009,-1.4674377655010633,-0.1428966452705033,-1.32454112023056,0.823045267489712,TRB%
Bogdan BogdanoviÄ,2018,-0.24780248008716138,0.15565467433157465,-0.40345715441873603,22.633744855967077,TRB%
Bones Hyland,2022,0.4741261124334909,-0.11306104329575598,0.5871871557292468,85.59670781893004,TRB%
Bradley Beal,2013,0.30951910624381584,0.06220145297372832,0.24731765327008753,71.60493827160494,TRB%
Brandin Podziemski,2024,1.1589534323023662,0.0966858959944151,1.0622675363079512,94.23868312757202,TRB%
Brandon Jennings,2010,-0.1014912807601907,-0.2218970820437379,0.12040580128354719,63.78600823045267,TRB%
Brandon Knight,2012,-0.17793601985647006,-0.15640348811200716,-0.0215325317444629,51.440329218106996,TRB%
Brandon Paul,2018,-0.0425666996061673,0.019678364068030953,-0.062245063674198256,49.382716049382715,TRB%
Brian Roberts,2013,-0.4567204640259623,-0.22934433844728117,-0.22737612557868112,33.33333333333333,TRB%
Bruce Brown,2019,0.22019984881983767,0.025829396610539644,0.19437045220929802,68.3127572016461,TRB%
Bub Carrington,2025,-0.059786840949827585,0.02195493387256036,-0.08174177482238795,47.325102880658434,TRB%
Buddy Hield,2017,0.3054681032063955,0.06660899440358194,0.23885910880281358,71.19341563786008,TRB%
C.J. Williams,2018,-0.6582740410491492,0.052498987339335605,-0.7107730283884848,11.11111111111111,TRB%
Caleb Love,2026,-0.3117668422458252,-0.03120318720656645,-0.28056365503925873,29.218106995884774,TRB%
Cam Thomas,2022,0.29399003697072473,0.008758829159897202,0.28523120781082756,73.66255144032921,TRB%
Cameron Payne,2016,0.121903929801745,-0.17537346888677535,0.2972773986885203,74.48559670781893,TRB%
Cason Wallace,2024,-0.3079328026114355,0.018182908978687365,-0.32611571159012287,27.160493827160494,TRB%
Cedric Coward,2026,1.741307765695135,0.15927442642400064,1.5820333392711343,99.58847736625515,TRB%
Charles Jenkins,2012,-0.9315473980721092,-0.10260589978725246,-0.8289414982848567,6.172839506172839,TRB%
Chris Duarte,2022,0.5461805426185972,0.14523896038357856,0.40094158223501863,82.3045267489712,TRB%
Coby White,2020,0.4040540442158188,0.016858591103501592,0.38719545311231723,81.06995884773663,TRB%
Cole Anthony,2021,0.8293693624716796,-0.1548647774426086,0.9842341399142882,92.5925925925926,TRB%
Collin Sexton,2019,-0.5403588395381538,-0.08709680066905041,-0.4532620388691034,19.753086419753085,TRB%
Courtney Lee,2009,-0.48766411049823244,0.14229643136343684,-0.6299605418616693,14.40329218106996,TRB%
Craig Porter Jr.,2024,0.5455282795202311,-0.2635633227338083,0.8090916022540393,90.53497942386831,TRB%
D'Angelo Russell,2016,0.07630627666979464,-0.07722361762439924,0.1535298942941939,65.02057613168725,TRB%
Daequan Cook,2008,0.5540485248976532,0.14871999240517958,0.40532853249247364,83.1275720164609,TRB%
Damian Lillard,2013,-0.3567761722516435,-0.13401573544140133,-0.22276043681024216,33.744855967078195,TRB%
Daniel Ewing,2006,-0.5752678398190078,-0.04065779806874871,-0.5346100417502591,16.049382716049383,TRB%
Daniel Gibson,2007,-0.38865970411315476,-0.20049895544731655,-0.1881607486658382,37.86008230452675,TRB%
DantÃ© Exum,2015,-0.9902283537341174,0.04174161104127657,-1.031969964775394,3.292181069958848,TRB%
Darius Garland,2020,-1.3294311620996362,-0.18070949572960368,-1.1487216663700326,1.2345679012345678,TRB%
De'Aaron Fox,2018,-0.27712187729873183,-0.07378931626758276,-0.20333256103114908,36.62551440329218,TRB%
De'Anthony Melton,2019,0.4103395209093355,-0.20367191830200207,0.6140114392113376,86.0082304526749,TRB%
Dennis SchrÃ¶der,2014,-0.25495079418076916,-0.255451456039034,0.0005006618582648614,52.2633744855967,TRB%
Dennis Smith Jr.,2018,0.10403028645168556,-0.120302603179472,0.22433288963115755,70.37037037037037,TRB%
Denzel Valentine,2017,0.4287810225912221,0.06241815285912002,0.3663628697321021,78.18930041152264,TRB%
Deron Williams,2006,-0.5752678398190078,-0.06114193094146999,-0.5141259088775377,16.46090534979424,TRB%
Derrick Rose,2009,-0.023560800233733994,-0.052046880692048235,0.02848608045831424,55.144032921810705,TRB%
Devin Booker,2016,-0.6988538265733641,0.159136254908276,-0.8579900814816401,5.349794238683128,TRB%
Devonte' Graham,2019,-0.5403588395381538,-0.24275184433879896,-0.29760699519935485,28.39506172839506,TRB%
Dion Waiters,2013,-0.2901466444020975,-0.012693174973344545,-0.27745346942875293,29.629629629629626,TRB%
Donovan Mitchell,2018,-0.07188609681773778,-0.0705640665245309,-0.0013220302932068773,51.85185185185185,TRB%
Doron Lamb,2013,-0.4567204640259623,0.03960682002348926,-0.49632728404945153,17.695473251028808,TRB%
Drake Powell,2026,-0.7091361212021398,0.15164683449489902,-0.8607829556970388,4.938271604938271,TRB%
Duane Washington Jr.,2022,-0.6787447705282128,-0.17189037314094624,-0.5068543973872666,17.28395061728395,TRB%
Dylan Harper,2026,0.35051528934803283,0.14718125825535136,0.20333403109268147,69.1358024691358,TRB%
Elfrid Payton,2015,0.8235562545907517,-0.056878341558553897,0.8804345961493055,91.76954732510289,TRB%
Elie Okobo,2019,-0.27416329861285665,-0.1296798175700082,-0.14448348104284844,41.56378600823045,TRB%
Emmanuel Mudiay,2016,-0.060486682726056826,-0.10394370270668703,0.0434570199806302,55.96707818930041,TRB%
Eric Bledsoe,2011,0.4081975610157321,-0.2549672308262522,0.6631647918419843,87.24279835390946,TRB%
Eric Gordon,2009,-0.9517674207627314,0.015685733171702923,-0.9674531539344343,4.11522633744856,TRB%
Eric Maynor,2010,-0.14709443750712137,-0.07745503909251508,-0.06963939841460628,48.559670781893004,TRB%
Ethan Thompson,2026,-0.4442232685645966,0.06386102838219204,-0.5080842969467887,16.872427983539097,TRB%
Frank Jackson,2019,-0.19810742977705748,-0.11611868493181944,-0.08198874484523803,46.913580246913575,TRB%
Frank Ntilikina,2018,-0.24780248008716138,-0.044625971286158174,-0.2031765088010032,37.03703703703704,TRB%
Gary Harris,2015,-0.6961011199517064,0.01434214554104677,-0.7104432654927532,11.522633744855968,TRB%
Gary Neal,2011,0.2639910152437926,0.03353252841895579,0.2304584868248368,70.78189300411523,TRB%
George Hill,2009,0.6468106479260979,-0.032709953788006646,0.6795206017141046,87.65432098765432,TRB%
Goran DragiÄ,2009,1.110913958190597,-0.035690199198114725,1.1466041573887116,95.88477366255144,TRB%
Hamidou Diallo,2019,1.170898209267327,0.13006921387789097,1.040828995389436,93.82716049382715,TRB%
Iman Shumpert,2012,0.01046682469743939,0.0566548717791986,-0.046188047081759206,49.794238683127574,TRB%
Immanuel Quickley,2021,-0.3887320060306354,-0.17250764665712875,-0.21622435937350665,34.5679012345679,TRB%
Isaac Okoro,2021,-0.6729556586811757,0.10977395308318563,-0.7827296117643613,6.995884773662551,TRB%
Isaiah Briscoe,2019,0.2582277832377371,-0.13014472462824106,0.38837250786597816,81.48148148148148,TRB%
Isaiah Collier,2025,-0.1623233636277666,-0.040289390895985766,-0.12203397273178082,44.03292181069959,TRB%
Isaiah Whitehead,2017,-0.1631209904559444,0.0021160033879127392,-0.16523699384385712,39.50617283950617,TRB%
